arm,run,update,compute_units,group,query_hops,inference_loops,accuracy,correct,n,sources
conditional,v3-conditional-s20260914,200,282427392,primary,"9,10,11,12",4,0.068359375,35,512,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v3-conditional-s20260914/dev-200.json
conditional,v3-conditional-s20260914,200,282427392,primary,"9,10,11,12",6,0.0390625,20,512,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v3-conditional-s20260914/dev-200.json
conditional,v3-conditional-s20260914,200,282427392,primary,"9,10,11,12",8,0.056640625,29,512,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v3-conditional-s20260914/dev-200.json
conditional,v3-conditional-s20260914,200,282427392,seen_hard,"6,8",4,0.05078125,13,256,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v3-conditional-s20260914/dev-200.json
conditional,v3-conditional-s20260914,200,282427392,seen_hard,"6,8",6,0.0390625,10,256,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v3-conditional-s20260914/dev-200.json
conditional,v3-conditional-s20260914,200,282427392,seen_hard,"6,8",8,0.07421875,19,256,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v3-conditional-s20260914/dev-200.json
conditional,v3-conditional-s20260914,200,282427392,d1,1,4,0.828125,106,128,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v3-conditional-s20260914/dev-200.json
conditional,v3-conditional-s20260914,200,282427392,d1,1,6,0.4375,56,128,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v3-conditional-s20260914/dev-200.json
conditional,v3-conditional-s20260914,200,282427392,d1,1,8,0.2890625,37,128,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v3-conditional-s20260914/dev-200.json
conditional,v3-conditional-s20260914,400,619167744,primary,"9,10,11,12",4,0.07421875,38,512,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v3-conditional-s20260914/dev-400.json
